//---------------------------------------------------------
// 以下學生及學校資料均為程式任意產生, 並非真實數據.
// stuNo,namg,gender,stuType,school,schType,city,district
//---------------------------------------------------------

120084,鄭嘉萱,女,一般生,芳和國中,市立,台北市,大安區
120085,李奕晶,女,一般生,福營國中,市立,新北市,
120086,宋明嫣,女,一般生,石牌國中,市立,台北市,北投區
120087,李威鴻,男,一般生,石牌國中,市立,台北市,北投區
120088,許書樺,女,一般生,石牌國中,市立,台北市,北投區
120089,許品君,女,一般生,石牌國中,市立,台北市,北投區
120090,陳茹月,女,一般生,石牌國中,市立,台北市,北投區
120091,阮育鋒,男,一般生,石牌國中,市立,台北市,北投區
120092,陳亭樺,女,一般生,石牌國中,市立,台北市,北投區
120093,王薪雯,女,一般生,石牌國中,市立,台北市,北投區
120094,曾姵伶,女,一般生,石牌國中,市立,台北市,北投區
120095,聞采捷,女,一般生,石牌國中,市立,台北市,北投區
120096,謝薇穎,女,一般生,石牌國中,市立,台北市,北投區
120097,王姿庭,女,一般生,石牌國中,市立,台北市,北投區
120098,陳宛安,女,一般生,石牌國中,市立,台北市,北投區
120099,蔡詔瑄,女,一般生,石牌國中,市立,台北市,北投區
120100,蕭禮可,女,一般生,弘道國中,市立,台北市,中正區
120101,劉馨文,女,一般生,民生國中,市立,台北市,松山區
120102,黃乃柔,女,一般生,民生國中,市立,台北市,松山區
120103,柯家翎,女,一般生,民生國中,市立,台北市,松山區
120104,陳鈺如,女,一般生,民生國中,市立,台北市,松山區
120105,許慧妤,女,一般生,民生國中,市立,台北市,松山區
120106,馬庭博,男,一般生,民生國中,市立,台北市,松山區
120107,陳孟晴,女,一般生,長安國中,市立,台北市,中山區
120108,施筱雅,女,一般生,長安國中,市立,台北市,中山區
120109,黃星雯,女,一般生,忠孝國中,市立,台北市,大同區
120110,林星邦,男,一般生,忠孝國中,市立,台北市,大同區
120111,陳郁瑋,女,一般生,忠孝國中,市立,台北市,大同區
120112,王緯廷,男,一般生,忠孝國中,市立,台北市,大同區
120113,曾瑋俐,女,一般生,忠孝國中,市立,台北市,大同區
120114,張文綺,女,一般生,螢橋國中,市立,台北市,中正區
120115,鄭紋盈,女,一般生,自強國中,市立,新北市,
120116,沈筑雯,女,一般生,自強國中,市立,新北市,
120117,高筱潔,女,一般生,自強國中,市立,新北市,
120118,蕭文云,女,一般生,自強國中,市立,新北市,
120119,許彥明,男,一般生,自強國中,市立,新北市,
120120,戴乃吟,女,一般生,自強國中,市立,新北市,
120121,章雅儀,女,一般生,自強國中,市立,新北市,
120122,王虹絜,女,一般生,自強國中,市立,新北市,
120123,吳郁陵,女,一般生,觀音國中,縣立,桃園縣,
120124,張思婷,女,一般生,居仁國中,市立,台中市,
120125,陳姿穎,女,一般生,士林國中,市立,台北市,士林區
120126,管穎君,女,一般生,士林國中,市立,台北市,士林區
120127,周姿風,女,一般生,士林國中,市立,台北市,士林區
120128,陳荷涵,女,一般生,士林國中,市立,台北市,士林區
120129,趙舒珍,女,一般生,士林國中,市立,台北市,士林區
120130,劉向維,男,一般生,士林國中,市立,台北市,士林區
120131,莊元薪,女,一般生,士林國中,市立,台北市,士林區
120132,鄭雅柔,女,一般生,士林國中,市立,台北市,士林區
120133,徐昱昊,男,一般生,誠正國中,市立,台北市,南港區
120134,鄭詩嫻,女,一般生,新民國中,市立,台北市,北投區
120135,王碩臻,女,一般生,新民國中,市立,台北市,北投區
120136,高逸華,女,一般生,新民國中,市立,台北市,北投區
120137,阮俊豪,男,一般生,興雅國中,市立,台北市,信義區
120138,洪品豪,男,原住民生,中山國中,市立,台北市,松山區
120139,陳若潔,女,一般生,中山國中,市立,台北市,松山區
120140,黃子翔,男,一般生,中山國中,市立,台北市,松山區
120141,王義豪,男,一般生,中山國中,市立,台北市,松山區
120142,唐孟清,女,一般生,中山國中,市立,台北市,松山區
120143,吳筱柔,女,一般生,中山國中,市立,台北市,松山區
120144,蘇采瑄,女,一般生,尖山國中,市立,新北市,
120145,許于均,女,一般生,萬芳高中,市立,台北市,文山區
120146,林哲駿,男,一般生,仁愛國中,市立,台北市,大安區
120147,王玉蓁,女,一般生,仁愛國中,市立,台北市,大安區
120148,邱佳菁,女,一般生,仁愛國中,市立,台北市,大安區
120149,林芷芸,女,一般生,仁愛國中,市立,台北市,大安區
120150,林佩萱,女,一般生,仁愛國中,市立,台北市,大安區
120151,劉緯駿,男,一般生,仁愛國中,市立,台北市,大安區
120152,蔡懿卉,女,一般生,仁愛國中,市立,台北市,大安區
120153,郭彩玟,女,一般生,仁愛國中,市立,台北市,大安區
120154,廖佳正,男,一般生,仁愛國中,市立,台北市,大安區
120155,王聖均,女,一般生,仁愛國中,市立,台北市,大安區
120156,孫柔騏,女,一般生,仁愛國中,市立,台北市,大安區
120157,陳家瑾,女,一般生,仁愛國中,市立,台北市,大安區
120158,呂宜婷,女,一般生,仁愛國中,市立,台北市,大安區
120159,林君緯,男,一般生,仁愛國中,市立,台北市,大安區
120160,莊琦穎,女,一般生,仁愛國中,市立,台北市,大安區
120161,曾佳亭,女,一般生,仁愛國中,市立,台北市,大安區
120162,鍾俊威,男,一般生,仁愛國中,市立,台北市,大安區
120163,何靖卉,女,一般生,仁愛國中,市立,台北市,大安區
120164,洪馨臻,女,一般生,仁愛國中,市立,台北市,大安區
120165,王易邗,女,一般生,仁愛國中,市立,台北市,大安區
120166,蔡思睿,女,一般生,仁愛國中,市立,台北市,大安區
120167,江克倫,男,一般生,仁愛國中,市立,台北市,大安區
120168,賴瑋震,男,原住民生,仁愛國中,市立,台北市,大安區
120169,張鎬元,男,一般生,仁愛國中,市立,台北市,大安區
120170,雲胤潔,女,一般生,仁愛國中,市立,台北市,大安區
120171,葉克舜,男,一般生,仁愛國中,市立,台北市,大安區
120172,蘇芳楨,女,一般生,仁愛國中,市立,台北市,大安區
120173,江宜紋,女,一般生,仁愛國中,市立,台北市,大安區
120174,王沛慧,女,一般生,仁愛國中,市立,台北市,大安區
120175,楊程翰,男,一般生,仁愛國中,市立,台北市,大安區
120176,蔡嘉綺,女,一般生,忠孝國中,市立,新北市,
120177,簡冠璇,女,一般生,忠孝國中,市立,新北市,
120178,蘇立璇,女,一般生,忠孝國中,市立,新北市,
120179,陳佩萩,女,一般生,忠孝國中,市立,新北市,
120180,謝孟蓉,女,一般生,忠孝國中,市立,新北市,
120181,李欣昀,女,一般生,忠孝國中,市立,新北市,
120182,江佩蓁,女,一般生,忠孝國中,市立,新北市,
120183,劉俐韶,女,一般生,忠孝國中,市立,新北市,
120184,陳人玲,女,一般生,忠孝國中,市立,新北市,
120185,陳睿潔,女,一般生,忠孝國中,市立,新北市,
120186,許柏瑋,男,一般生,石牌國中,市立,台北市,北投區
120187,曾矩翰,男,一般生,義民高中,私立,新竹縣,
120188,林秉雄,男,一般生,金華國中,市立,台北市,大安區
120189,張欣文,女,一般生,明正國中,縣立,屏東縣,
120190,吳雯雯,女,一般生,成德國中,市立,台北市,南港區
120191,游勵毅,男,一般生,成德國中,市立,台北市,南港區
120192,謝宜樺,女,一般生,成德國中,市立,台北市,南港區
120193,呂書宇,男,一般生,成德國中,市立,台北市,南港區
120194,韓品玉,女,一般生,成德國中,市立,台北市,南港區
120195,林家芬,女,一般生,成德國中,市立,台北市,南港區
120196,林漢翰,男,一般生,福安國中,市立,台北市,士林區
120197,高孟居,男,一般生,樹林高中,市立,新北市,
120198,陳玉婷,女,一般生,樹林高中,市立,新北市,
120199,陳雅欣,女,一般生,樹林高中,市立,新北市,
120200,蔡趙宇,男,一般生,樹林高中,市立,新北市,
120201,游堯臻,女,一般生,樹林高中,市立,新北市,
120202,李淑涵,女,一般生,樹林高中,市立,新北市,
120203,陳詩文,女,一般生,樹林高中,市立,新北市,
120204,趙冠凱,男,一般生,樹林高中,市立,新北市,
120205,林乃琳,女,一般生,樹林高中,市立,新北市,
120206,黃佳琳,女,一般生,樹林高中,市立,新北市,
120207,盧皓傑,男,一般生,南崁高中,縣立,桃園縣,
120208,謝瑋嘉,女,一般生,南崁高中,縣立,桃園縣,
120209,許庭雯,女,一般生,建德國中,市立,基隆市,
120210,張裕辰,女,一般生,建德國中,市立,基隆市,
120211,黃怡筠,女,一般生,建國國中,縣立,桃園縣,
120212,郭皓妮,女,一般生,樟樹國中,市立,新北市,
120213,李安樺,女,一般生,樟樹國中,市立,新北市,
120214,林淞麟,男,一般生,樟樹國中,市立,新北市,
120215,許曉潔,女,一般生,樟樹國中,市立,新北市,
120216,陳巧霓,女,一般生,樟樹國中,市立,新北市,
120217,劉志葦,男,一般生,大直高中,市立,台北市,中山區
120218,張妍慈,女,一般生,及人高中,私立,新北市,
120219,胡孟瑋,男,一般生,及人高中,私立,新北市,
120220,何心琇,女,一般生,及人高中,私立,新北市,
120221,林少達,男,一般生,及人高中,私立,新北市,
120222,熊昕軒,男,一般生,鷺江國中,市立,新北市,
120223,廖筠廷,女,一般生,鷺江國中,市立,新北市,
120224,顏伊綸,女,一般生,鷺江國中,市立,新北市,
120225,蕭珮瑜,女,一般生,鷺江國中,市立,新北市,
120226,吳庭華,女,一般生,鷺江國中,市立,新北市,
120227,張明穎,女,一般生,鷺江國中,市立,新北市,
120228,康貞芹,女,一般生,鷺江國中,市立,新北市,
120229,吳宛儀,女,一般生,三民高中,市立,新北市,
120230,蔡世凱,男,一般生,三民高中,市立,新北市,
120231,施霽節,女,一般生,三民高中,市立,新北市,
120232,葉伶寧,女,一般生,三民高中,市立,新北市,
120233,蔡芳瑄,女,一般生,三民高中,市立,新北市,
120234,左亞依,女,一般生,江翠國中,市立,新北市,
120235,郭喬薇,女,一般生,仁愛國中,縣立,新竹縣,
120236,楊子鈞,女,一般生,竹圍國中,市立,新北市,
120237,張依孜,女,一般生,竹圍國中,市立,新北市,
120238,陳孜蓮,女,一般生,竹圍國中,市立,新北市,
120239,林香鍶,女,一般生,竹圍國中,市立,新北市,
120240,林昀如,女,一般生,中平國中,市立,新北市,
120241,陳韻萍,女,一般生,鶯歌國中,市立,新北市,
120242,高竣祥,男,一般生,鶯歌國中,市立,新北市,
120243,張慶仲,男,一般生,鶯歌國中,市立,新北市,
120244,陳雅蔓,女,一般生,鶯歌國中,市立,新北市,
120245,宋蔓如,女,一般生,鶯歌國中,市立,新北市,
120246,林盈荃,女,一般生,鶯歌國中,市立,新北市,
120247,賴香潔,女,一般生,鶯歌國中,市立,新北市,
120248,尤彥哲,男,一般生,鶯歌國中,市立,新北市,
120249,蘇明廷,男,一般生,鶯歌國中,市立,新北市,
120250,吳韋文,男,一般生,鶯歌國中,市立,新北市,
120251,王品伶,女,一般生,鶯歌國中,市立,新北市,
120252,陳正瑋,男,一般生,鶯歌國中,市立,新北市,
120253,賴晏妃,女,一般生,福和國中,市立,新北市,
120254,劉俊鎬,男,一般生,福和國中,市立,新北市,
120255,劉芳心,女,一般生,福和國中,市立,新北市,
120256,吳矞柔,女,一般生,福和國中,市立,新北市,
120257,莊曉儀,女,一般生,福和國中,市立,新北市,
120258,陳官祺,女,一般生,福和國中,市立,新北市,
120259,陳鎬聖,男,一般生,福和國中,市立,新北市,
120260,陳凱琳,女,一般生,福和國中,市立,新北市,
120261,洪褘柔,女,一般生,福和國中,市立,新北市,
120262,潘郁軒,女,一般生,福和國中,市立,新北市,
120263,封巧萍,女,一般生,福和國中,市立,新北市,
120264,陳渝穎,女,一般生,福和國中,市立,新北市,
120265,梁之任,男,一般生,福和國中,市立,新北市,
120266,邱曜銘,男,一般生,福和國中,市立,新北市,
120267,李佩婷,女,一般生,福和國中,市立,新北市,
120268,余靜儒,女,一般生,福和國中,市立,新北市,
120269,詹裕霆,男,一般生,福和國中,市立,新北市,
120270,戴佩銘,女,一般生,福和國中,市立,新北市,
120271,呂祐葶,女,一般生,福和國中,市立,新北市,
120272,張禎潔,女,一般生,福和國中,市立,新北市,
120273,顏鈺瑄,女,一般生,福和國中,市立,新北市,
120274,林郁馨,女,一般生,大崗國中,縣立,桃園縣,
120275,黃晉舜,男,一般生,丹鳳國中,市立,新北市,
120276,蕭培如,女,一般生,丹鳳國中,市立,新北市,
120277,沈玉靜,女,一般生,丹鳳國中,市立,新北市,
120278,吳月芳,女,一般生,八里國中,市立,新北市,
120279,郭旻恩,女,一般生,新屋國中,縣立,桃園縣,
120280,宋巧庭,女,一般生,秀峰高中,市立,新北市,
120281,陳久文,女,一般生,秀峰高中,市立,新北市,
120282,黃俐懿,女,一般生,秀峰高中,市立,新北市,
120283,王苹璇,女,一般生,秀峰高中,市立,新北市,
120284,朱宜樺,男,一般生,北安國中,市立,台北市,中山區
120285,王昱倫,女,一般生,北安國中,市立,台北市,中山區
120286,陳欣霞,女,一般生,北安國中,市立,台北市,中山區
120287,蘇炳誠,男,一般生,北安國中,市立,台北市,中山區
120288,吳靈凌,女,一般生,北安國中,市立,台北市,中山區
120289,林晨容,女,一般生,北安國中,市立,台北市,中山區
120290,徐婉雅,女,一般生,清水高中,市立,新北市,
120291,賴姵儀,女,一般生,清水高中,市立,新北市,
120292,邵亭庭,女,一般生,清水高中,市立,新北市,
120293,李婉禎,女,一般生,清水高中,市立,新北市,
120294,洪育妮,女,一般生,清水高中,市立,新北市,
120295,詹彥羽,女,一般生,清水高中,市立,新北市,
120296,劉燕庭,女,一般生,清水高中,市立,新北市,
120297,鐘慧璇,女,一般生,清水高中,市立,新北市,
120298,吳孟敏,女,一般生,清水高中,市立,新北市,
120299,陳哲林,男,一般生,清水高中,市立,新北市,
